PERIOD_BEGIN	PERIOD_END	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED
2025-08-01	2025-10-31	90	zip code	2	18533	false	Zip Code: 44142		Ohio	OH	All Residential	-1	220000	-0.05355990536	0	229950	0.008995173322	0.09526077638	176.257042347	-0.03710935859	-0.03813406565	176.105299721	-0.03388042276	-0.003626343247	44	-0.1538461538	-0.1020408163	44	-0.06382978723	-0.2413793103	46	0.02222222222	-0.2068965517	20	0.25	0	NA	NA	NA	7	1	-5	1.002233245	-0.005165454248	-0.01315123875	0.4318181818	-0.01048951049	-0.07838589981	NA	NA	NA	0.6818181818	-0.0415860735	-0.02507836991	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2015-08-01	2015-10-31	90	zip code	2	18509	false	Zip Code: 44118		Ohio	OH	All Residential	-1	115000	0.0004349717268	-0.1782779564	119000	-0.04417670683	-0.048	65.539112051	0.00979857236	-0.1425676168	71.015228426	0.02217692529	-0.02859775419	165	-0.1494845361	0.1956521739	157	-0.1277777778	0.1544117647	237	-0.06692913386	0.1617647059	374	-0.03608247423	0	NA	NA	NA	85	14	-21.5	0.9395353393	-0.004122771965	-0.001001068033	0.1212121212	-0.01796313652	0.03425559947	NA	NA	NA	0.178343949	0.02834394904	0.178343949	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2021-09-01	2021-11-30	90	zip code	2	18511	false	Zip Code: 44120		Ohio	OH	All Residential	-1	123500	-0.2108626198	-0.1766666667	89500	-0.1041041041	-0.1049910499	67.895516304	-0.1691600523	-0.05529428848	53.285968028	-0.1357984822	-0.1225577265	122	-0.03937007874	0.2323232323	125	-0.1071428571	-0.08088235294	135	-0.1176470588	0.04651162791	113	-0.096	0.02727272727	NA	NA	NA	40	6	-8.5	0.9737197758	-0.01617214911	0.0006770796177	0.3032786885	-0.04317800439	0.050753436	NA	NA	NA	0.36	-0.04714285714	-0.1179411765	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2018-11-01	2019-01-31	90	zip code	2	18524	false	Zip Code: 44133		Ohio	OH	All Residential	-1	167900	-0.1667493797	-0.05087620124	194900	0.1374379924	0.3926402287	95.241613071	-0.02228685581	-0.0247487173	106.968254147	0.09847316888	0.1212460831	83	-0.1170212766	-0.1170212766	89	-0.05319148936	0.07228915663	63	-0.25	-0.1710526316	86	-0.05494505495	0.075	NA	NA	NA	53	7	1	0.9627309219	-0.001817015797	-0.009932324858	0.1686746988	0.03037682645	0.0516534222	NA	NA	NA	0.3370786517	-0.02462347597	-0.06051170976	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2017-09-01	2017-11-30	90	zip code	2	18502	false	Zip Code: 44111		Ohio	OH	All Residential	-1	85000	-0.03078677309	0.25	79900	-0.00125	0.06675567423	65.370231862	-0.05902849732	0.1901425718	60.487444609	-0.06662052002	0.08089990294	139	-0.1366459627	0.188034188	167	-0.02906976744	0.4152542373	161	-0.1785714286	0.2384615385	149	-0.06875	0	NA	NA	NA	44	3	-14	0.9631514831	-0.009540216566	-0.0001100505954	0.2949640288	-0.03422851781	0.1154768493	NA	NA	NA	0.3532934132	-0.0594972845	0.0227849386	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2018-03-01	2018-05-31	90	zip code	2	18513	false	Zip Code: 44122		Ohio	OH	All Residential	-1	236500	-0.01252609603	0.1397590361	247000	0.008369054909	0.02279550301	103.943246519	0.02442249972	0.06469644872	111.349985863	0.03125370881	0.01384162129	148	0.3214285714	-0.01333333333	208	0.1304347826	0.009708737864	228	0.14	-0.03389830508	220	0.06796116505	-0.1235059761	NA	NA	NA	69.5	-29	-8.5	0.9667199089	0.002236262792	0.01029165571	0.1351351351	0.04584942085	0.0218018018	NA	NA	NA	0.4326923077	0.008779264214	0.09774085138	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2021-04-01	2021-06-30	90	zip code	2	18447	false	Zip Code: 44040		Ohio	OH	All Residential	-1	605000	0.3188010899	0.21	539500	-0.1191836735	0.0738455414	178.799489144	0.1667411447	0.2951648322	171.948338942	-0.03442267958	0.1863755899	21	0.05	0.2352941176	25	-0.07407407407	-0.03846153846	32	0.1428571429	1	29	0.2608695652	0.2608695652	NA	NA	NA	42	1	-69	0.9849332321	0.01877762304	0.04087282741	0.2380952381	0.0880952381	0.1792717087	NA	NA	NA	0.6	-0.02962962963	0.2923076923	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2025-09-01	2025-11-30	90	zip code	2	18531	false	Zip Code: 44140		Ohio	OH	All Residential	-1	390000	0.01298701299	0.07883817427	380000	-0.03773107116	-0.05	257.02811245	0.03858240746	0.1528641531	241.909385113	-0.01683733416	0.03607457474	57	-0.1230769231	0.3255813953	61	-0.07575757576	0.4523809524	63	-0.1	0.575	26	-0.2777777778	0.1818181818	NA	NA	NA	6	0	-1.5	1.026562908	0.0001831318819	0.006898689693	0.5964912281	-0.00350877193	0.01509587923	NA	NA	NA	0.737704918	-0.01987083954	0.02341920375	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2019-02-01	2019-04-30	90	zip code	2	18504	false	Zip Code: 44113		Ohio	OH	All Residential	-1	193500	-0.01275510204	-0.04444444444	264500	-0.02000741015	-0.02000741015	145.892857143	0.005618622449	0.05334642857	179.884672872	0.005586342977	-0.04486832885	50	0.4705882353	0	91	0.1234567901	0.1666666667	132	0.2222222222	0.3894736842	176	0.09316770186	0.3037037037	NA	NA	NA	92	9.5	22.5	0.9516154022	-0.002760513502	0.006051116571	0.16	0.01294117647	0.04	NA	NA	NA	0.2527472527	0.05521638855	-0.01648351648	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2025-05-01	2025-07-31	90	zip code	2	18522	false	Zip Code: 44131		Ohio	OH	All Residential	-1	330250	0.0007575757576	0.04542576765	329900	0	0.01507692308	190.812233618	0.04026567972	0.01565006726	192.209636872	0	0.04649391252	60	0.09090909091	-0.1780821918	72	0.125	-0.1219512195	86	0.1025641026	-0.01149425287	33	-0.02941176471	0.2222222222	NA	NA	NA	17	7	5	1.001308316	-0.0005593364609	-0.01917738249	0.4833333333	-0.06212121212	-0.1194063927	NA	NA	NA	0.6527777778	-0.08159722222	-0.04234417344	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2022-12-01	2023-02-28	90	zip code	2	18513	false	Zip Code: 44122		Ohio	OH	All Residential	-1	257000	0	-0.07802690583	315000	0.0243902439	0.1454545455	128.108515448	0.03948508684	-0.03615792001	159.329140461	0.02044816359	0.1989517607	73	0.01388888889	-0.2551020408	91	-0.01086956522	-0.05208333333	83	0.1527777778	-0.05681818182	57	-0.06557377049	-0.1492537313	NA	NA	NA	52	6	10	0.9658226288	-0.004385316166	-0.0247052377	0.2465753425	0.02435312024	-0.1411797596	NA	NA	NA	0.3956043956	0.04777830865	-0.08356227106	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2022-05-01	2022-07-31	90	zip code	2	18500	false	Zip Code: 44109		Ohio	OH	All Residential	-1	130000	0	0.08333333333	128750	-0.008852963818	0.05749486653	90.731164556	0.07531064058	0.179068813	85.638998682	-0.0185026064	0.09036477076	138	-0.02127659574	-0.1481481481	191	0.01058201058	-0.005208333333	231	0.01762114537	0.01315789474	122	0.00826446281	0.08928571429	NA	NA	NA	17.5	0.5	-3.5	1.011802604	-0.001057837161	0.004821245608	0.5072463768	0.01788467468	-0.01127214171	NA	NA	NA	0.6963350785	-0.01265963046	0.01404341187	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2012-11-01	2013-01-31	90	zip code	2	18469	false	Zip Code: 44070		Ohio	OH	All Residential	-1	109900	-0.03596491228	0.04666666667	109000	-0.02678571429	-0.06357388316	69.045918219	-0.02989551779	0.05944883374	64.056603774	0.02772384388	-0.0905229841	71	-0.1744186047	-0.06578947368	71	-0.1647058824	-0.05333333333	97	0.02105263158	0.3108108108	220	0.06796116505	-0.009009009009	NA	NA	NA	118	-7	-13	0.9392910673	0.00422106378	0.007424192061	0.1549295775	0.0386505077	0.07598220904	NA	NA	NA	0	-0.01176470588	0	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2020-10-01	2020-12-31	90	zip code	2	18502	false	Zip Code: 44111		Ohio	OH	All Residential	-1	116250	-0.03125	0.2046632124	115000	-0.03926482874	0.0962821735	89.820359281	-0.006127522703	0.1668777589	88.99068394	-0.02021778296	0.1315293101	194	0.04864864865	0.4160583942	183	-0.1244019139	0.4076923077	150	-0.2021276596	0.3513513514	75	-0.2268041237	-0.03846153846	NA	NA	NA	30	6	-13	0.9937301802	-0.008017154437	0.02595542965	0.5103092784	-0.01401504597	0.2475355557	NA	NA	NA	0.5519125683	-0.09402044605	0.1211433375	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
2023-12-01	2024-02-29	90	zip code	2	18535	false	Zip Code: 44144		Ohio	OH	All Residential	-1	170000	0	0.1147540984	177000	0.0445559162	0.1606557377	127.450980392	0.006988934188	-0.006400517114	137.438276418	0	0.08402020836	41	-0.1632653061	-0.18	47	0	-0.1132075472	36	-0.1428571429	-0.3076923077	14	-0.125	-0.4166666667	NA	NA	NA	18	3	-14.5	0.9821109824	-0.008636529064	-0.008197979621	0.3658536585	-0.1035340966	-0.01414634146	NA	NA	NA	0.5319148936	0.04255319149	0.02248093135	Cleveland, OH	17460	2026-04-14 14:25:48.665 Z
